 2019-Apr-03 00:00, , , 04 33 11.44, +53 27 26.3,    04 34 40.32, +53 29 50.6,  20.65084,  -14.8157,  332.091076,    -5.116265,    n.a.,   n.a.,   21.108,   n.a.,   99.35054,   5.711053090270,-33.3917251,  6.03324126620671,-11.8544097,   66.6413,/T,    9.2465,   64.981, 302.990,  152.361028,  3.767754,   0.4235966,  125.65714,  -20.99658,         n.a.,    n.a.,
 2019-Apr-04 00:00, , , 04 34 08.01, +53 21 37.8,    04 35 36.80, +53 24 00.6,  21.00481,  -14.7578,  331.696267,    -5.349788,    n.a.,   n.a.,   21.099,   n.a.,   99.35304,   5.691769401151,-33.3833057,  6.02624906486388,-11.9814357,   65.9126,/T,    9.2287,   64.627, 303.203,  152.527748,  3.805430,   0.4278485,  125.09161,  -21.03171,         n.a.,    n.a.,
 2019-Apr-05 00:00, , , 04 35 05.38, +53 15 50.8,    04 36 34.08, +53 18 12.0,  21.35689,  -14.7007,  331.304631,    -5.586772,    n.a.,   n.a.,   21.090,   n.a.,   99.35575,   5.672490606601,-33.3747466,  6.01918079145335,-12.1131282,   65.1866,/T,    9.2095,   64.275, 303.411,  152.695637,  3.845619,   0.4321226,  124.54106,  -21.07331,         n.a.,    n.a.,
 2019-Apr-06 00:00, , , 04 36 03.55, +53 10 05.2,    04 37 32.17, +53 12 24.7,  21.70697,  -14.6445,  330.916165,    -5.827142,    n.a.,   n.a.,   21.080,   n.a.,   99.35865,   5.653216787680,-33.3660455,  6.01203379561406,-12.2493972,   64.4633,/T,    9.1887,   63.923, 303.616,  152.864675,  3.888321,   0.4364166,  124.00538,  -21.12119,         n.a.,    n.a.,
 2019-Apr-07 00:00, , , 04 37 02.51, +53 04 21.0,    04 38 31.05, +53 06 38.9,  22.05498,  -14.5893,  330.530863,    -6.070823,    n.a.,   n.a.,   21.071,   n.a.,   99.36175,   5.633948026757,-33.3572002,  6.00480548440147,-12.3901337,   63.7428,/T,    9.1665,   63.571, 303.816,  153.034842,  3.933536,   0.4407284,  123.48448,  -21.17510,         n.a.,    n.a.,
 2019-Apr-08 00:00, ,m, 04 38 02.25, +52 58 38.2,    04 39 30.72, +53 00 54.4,  22.40084,  -14.5352,  330.148718,    -6.317745,    n.a.,   n.a.,   21.062,   n.a.,   99.36504,   5.614684407541,-33.3482083,  5.99749333411337,-12.5352068,   63.0251,/T,    9.1428,   63.219, 304.013,  153.206118,  3.981264,   0.4450560,  122.97825,  -21.23478,         n.a.,    n.a.,
 2019-Apr-09 00:00, ,m, 04 39 02.77, +52 52 56.8,    04 40 31.18, +52 55 11.2,  22.74448,  -14.4823,  329.769720,    -6.567838,    n.a.,   n.a.,   21.052,   n.a.,   99.36852,   5.595426015102,-33.3390675,  5.99009490303988,-12.6844636,   62.3103,/T,    9.1178,   62.868, 304.206,  153.378485,  4.031501,   0.4493976,  122.48659,  -21.29993,         n.a.,    n.a.,
 2019-Apr-10 00:00, ,m, 04 40 04.06, +52 47 16.6,    04 41 32.40, +52 49 29.3,  23.08584,  -14.4309,  329.393856,    -6.821031,    n.a.,   n.a.,   21.043,   n.a.,   99.37218,   5.576172935897,-33.3297753,  5.98260784429446,-12.8377292,   61.5984,/T,    9.0913,   62.516, 304.395,  153.551923,  4.084243,   0.4537519,  122.00938,  -21.37021,         n.a.,    n.a.,
 2019-Apr-11 00:00, ,m, 04 41 06.10, +52 41 37.8,    04 42 34.38, +52 43 48.7,  23.42490,  -14.3810,  329.021112,    -7.077258,    n.a.,   n.a.,   21.033,   n.a.,   99.37603,   5.556925257798,-33.3203293,  5.97502991790716,-12.9948087,   60.8895,/T,    9.0634,   62.163, 304.581,  153.726414,  4.139488,   0.4581175,  121.54649,  -21.44526,         n.a.,    n.a.,
 2019-Apr-12 00:00, ,m, 04 42 08.89, +52 36 00.2,    04 43 37.11, +52 38 09.4,  23.76165,  -14.3327,  328.651471,    -7.336452,    n.a.,   n.a.,   21.024,   n.a.,   99.38005,   5.537683070121,-33.3107271,  5.96735900144060,-13.1554907,   60.1835,/T,    9.0341,   61.810, 304.763,  153.901940,  4.197229,   0.4624938,  121.09775,  -21.52468,         n.a.,    n.a.,
